Topic,Book Count
the-1700s,9335
the-alps,246
the-gambia,652
the-world,49487
theatre,341937
thelema,9792
theology,795288
theory,359756
theosophy,21236
threesome,17991
thriller,4778244
time-travel,535550
time-travel-romance,24550
togo,7762
tourette-syndrome,824
traditional-chinese-medicine,644
traditional-regency,15071
tragedy,435527
trains,30753
transgender,37409
transgender-romance,958
transmississippi,353
transsexual,1531
transvestism,555
travel,1383868
travelogue,65267
tristan-da-cunha,38
trivia,54357
trucks,5236
true-crime,685891
true-story,182474
tudor-period,7445
tunis,129
tunisia,6897
turkish,180873
turkish-literature,59420
tv,152039
uganda,7980
ukraine,53289
ukrainian-literature,18216
underground-railway,690
unicorns,32749
urban,302211
urban-design,6595
urban-fantasy,2348407
urban-fantasy-romance,32970
urban-legends,2625
urban-planning,32656
urban-studies,25207
urbanism,38346
us-presidents,21652
usability,4901
utopia,86863
vaccine-hesitancy,2
vaccines,1997
vampire-hunters,5881
vampires,1334548
vegan,42765
vegetarian,13684
vegetarianism,5002
vespa,737
vicksburg-campaign,55
victor-frankenstein,456
victorian,407504
victorian-romance,34533
video-games,58109
viking-romance,3149
virtual-reality,11748
visual-art,25475
vtol,440
walking,34969
war,1309933
warcraft,15977
web,56795
webcomic,35911
website-design,967
weird-fiction,188079
weird-west,8134
werecats,7118
werewolves,351974
western-africa,1504
western-historical-romance,15885
western-romance,67253
western-sahara,627
westerns,150383
whodunit,155147
wicca,54063
wilderness,58692
wildlife,36773
william-godwin,63
wine,37604
witchcraft,211240
witches,578323
wizards,100046
wolves,111085
women-and-gender-studies,11816
womens,106169
womens-fiction,328385
womens-rights,15617
womens-sports,597
womens-studies,86833
wonder-woman,23785
woodwork,2165
words,122032
world-history,331228
world-of-darkness,8004
world-of-warcraft,7281
world-war-i,62219
world-war-ii,273753
writing,837096
wwii-related-fiction,1792
x-men,91732
yaoi,146662
yeti,1267
young-adult,10800030
young-adult-contemporary,85692
young-adult-fantasy,291832
young-adult-historical-fiction,34657
young-adult-paranormal,59682
young-adult-romance,161562
young-adult-science-fiction,35508
young-earth,158
young-readers,271246
yuri,23653
zambia,7334
zen,73810
zimbabwe,8122
zombies,322974
ᛋᛋ-books,4
漫画,77546
